"YearStart","YearEnd","LocationAbbr","LocationDesc","DataSource","Topic","Question","DataValueType","DataValue","DataValueFootnoteSymbol","DatavalueFootnote","StratificationCategory1","Stratification1","GeoLocation","LocationID","TopicID","QuestionID","DataValueTypeID","StratificationCategoryID1","StratificationID1","Longitude","Latitude"
2018,2018,"AK","Alaska","NVSS","Alcohol","Chronic liver disease mortality","Number",121,"","","Overall","Overall","POINT (-147.72205903599973 64.84507995700051)",2,"ALC","ALC6_0","NMBR","OVERALL","OVR",-147.722059036,64.8450799570005
2018,2018,"AL","Alabama","NVSS","Cardiovascular Disease","Mortality from coronary heart disease","Number",3056,"","","Gender","Male","POINT (-86.63186076199969 32.84057112200048)",1,"CVD","CVD1_3","NMBR","GENDER","GENM",-86.6318607619997,32.8405711220005
2018,2018,"AR","Arkansas","NVSS","Cardiovascular Disease","Mortality from coronary heart disease","Number",2022,"","","Gender","Female","POINT (-92.27449074299966 34.74865012400045)",5,"CVD","CVD1_3","NMBR","GENDER","GENF",-92.2744907429997,34.7486501240004
2018,2018,"AZ","Arizona","NVSS","Cardiovascular Disease","Mortality from total cardiovascular diseases","Number",260,"","","Race/Ethnicity","Asian or Pacific Islander","POINT (-111.76381127699972 34.865970280000454)",4,"CVD","CVD1_1","NMBR","RACE","API",-111.763811277,34.8659702800005
2018,2018,"AZ","Arizona","NVSS","Cardiovascular Disease","Mortality from cerebrovascular disease (stroke)","Number",1576,"","","Gender","Female","POINT (-111.76381127699972 34.865970280000454)",4,"CVD","CVD1_5","NMBR","GENDER","GENF",-111.763811277,34.8659702800005
2018,2018,"CA","California","NVSS","Alcohol","Chronic liver disease mortality","Number",271,"","","Race/Ethnicity","Black, non-Hispanic","POINT (-120.99999953799971 37.63864012300047)",6,"ALC","ALC6_0","NMBR","RACE","BLK",-120.999999538,37.6386401230005
2018,2018,"CT","Connecticut","NVSS","Alcohol","Chronic liver disease mortality","Number",350,"","","Overall","Overall","POINT (-72.64984095199964 41.56266102000046)",9,"ALC","ALC6_0","NMBR","OVERALL","OVR",-72.6498409519996,41.5626610200005
2018,2018,"CT","Connecticut","NVSS","Cardiovascular Disease","Mortality from diseases of the heart","Number",322,"","","Race/Ethnicity","Hispanic","POINT (-72.64984095199964 41.56266102000046)",9,"CVD","CVD1_2","NMBR","RACE","HIS",-72.6498409519996,41.5626610200005
2018,2018,"DC","District of Columbia","NVSS","Alcohol","Chronic liver disease mortality","Number",59,"","","Overall","Overall","POINT (-77.036871 38.907192)",11,"ALC","ALC6_0","NMBR","OVERALL","OVR",-77.036871,38.907192
2018,2018,"DC","District of Columbia","NVSS","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Number",235,"","","Gender","Female","POINT (-77.036871 38.907192)",11,"DIA","DIA1_2","NMBR","GENDER","GENF",-77.036871,38.907192
2018,2018,"DE","Delaware","NVSS","Cardiovascular Disease","Mortality from diseases of the heart","Number",32,"","","Race/Ethnicity","Hispanic","POINT (-75.57774116799965 39.008830667000495)",10,"CVD","CVD1_2","NMBR","RACE","HIS",-75.5777411679996,39.0088306670005
2018,2018,"GA","Georgia","NVSS","Cardiovascular Disease","Mortality from total cardiovascular diseases","Number",12064,"","","Gender","Female","POINT (-83.62758034599966 32.83968109300048)",13,"CVD","CVD1_1","NMBR","GENDER","GENF",-83.6275803459997,32.8396810930005
2018,2018,"GA","Georgia","NVSS","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Number",141,"","","Overall","Overall","POINT (-83.62758034599966 32.83968109300048)",13,"DIA","DIA1_2","NMBR","OVERALL","OVR",-83.6275803459997,32.8396810930005
2018,2018,"HI","Hawaii","NVSS","Cardiovascular Disease","Mortality from diseases of the heart","Number",2570,"","","Overall","Overall","POINT (-157.85774940299973 21.304850435000446)",15,"CVD","CVD1_2","NMBR","OVERALL","OVR",-157.857749403,21.3048504350004
2018,2018,"IA","Iowa","NVSS","Cardiovascular Disease","Mortality from cerebrovascular disease (stroke)","Number",1440,"","","Overall","Overall","POINT (-93.81649055599968 42.46940091300047)",19,"CVD","CVD1_5","NMBR","OVERALL","OVR",-93.8164905559997,42.4694009130005
2018,2018,"ID","Idaho","NVSS","Chronic Kidney Disease","Mortality with end-stage renal disease","Number",453,"","","Gender","Female","POINT (-114.3637300419997 43.682630005000476)",16,"CKD","CKD1_0","NMBR","GENDER","GENF",-114.363730042,43.6826300050005
2018,2018,"ID","Idaho","NVSS","Overarching Conditions","Premature mortality among adults aged 45-64 years","Number",1436,"","","Gender","Male","POINT (-114.3637300419997 43.682630005000476)",16,"OVC","OVC5_0","NMBR","GENDER","GENM",-114.363730042,43.6826300050005
2018,2018,"IL","Illinois","NVSS","Chronic Kidney Disease","Mortality with end-stage renal disease","Number",4316,"","","Gender","Male","POINT (-88.99771017799969 40.48501028300046)",17,"CKD","CKD1_0","NMBR","GENDER","GENM",-88.9977101779997,40.4850102830005
2018,2018,"IL","Illinois","NVSS","Cardiovascular Disease","Mortality from coronary heart disease","Number",7257,"","","Gender","Male","POINT (-88.99771017799969 40.48501028300046)",17,"CVD","CVD1_3","NMBR","GENDER","GENM",-88.9977101779997,40.4850102830005
2018,2018,"KY","Kentucky","NVSS","Cardiovascular Disease","Mortality from coronary heart disease","Number",2148,"","","Gender","Female","POINT (-84.77497104799966 37.645970271000465)",21,"CVD","CVD1_3","NMBR","GENDER","GENF",-84.7749710479997,37.6459702710005
2018,2018,"KY","Kentucky","NVSS","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",5975,"","","Race/Ethnicity","White, non-Hispanic","POINT (-84.77497104799966 37.645970271000465)",21,"DIA","DIA1_1","NMBR","RACE","WHT",-84.7749710479997,37.6459702710005
2018,2018,"LA","Louisiana","NVSS","Alcohol","Chronic liver disease mortality","Number",128,"","","Race/Ethnicity","Black, non-Hispanic","POINT (-92.44568007099969 31.31266064400046)",22,"ALC","ALC6_0","NMBR","RACE","BLK",-92.4456800709997,31.3126606440005
2018,2018,"LA","Louisiana","NVSS","Chronic Kidney Disease","Mortality with end-stage renal disease","Number",1613,"","","Gender","Male","POINT (-92.44568007099969 31.31266064400046)",22,"CKD","CKD1_0","NMBR","GENDER","GENM",-92.4456800709997,31.3126606440005
2018,2018,"LA","Louisiana","NVSS","Cardiovascular Disease","Mortality from coronary heart disease","Number",2053,"","","Gender","Female","POINT (-92.44568007099969 31.31266064400046)",22,"CVD","CVD1_3","NMBR","GENDER","GENF",-92.4456800709997,31.3126606440005
2018,2018,"MA","Massachusetts","NVSS","Cardiovascular Disease","Mortality from diseases of the heart","Number",6282,"","","Gender","Male","POINT (-72.08269067499964 42.27687047000046)",25,"CVD","CVD1_2","NMBR","GENDER","GENM",-72.0826906749996,42.2768704700005
2018,2018,"MD","Maryland","NVSS","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",110,"","","Race/Ethnicity","Hispanic","POINT (-76.60926011099963 39.29058096400047)",24,"DIA","DIA1_1","NMBR","RACE","HIS",-76.6092601109996,39.2905809640005
2018,2018,"MI","Michigan","NVSS","Cardiovascular Disease","Mortality from coronary heart disease","Number",185,"","","Race/Ethnicity","Hispanic","POINT (-84.71439026999968 44.6613195430005)",26,"CVD","CVD1_3","NMBR","RACE","HIS",-84.7143902699997,44.6613195430005
2018,2018,"MN","Minnesota","NVSS","Cardiovascular Disease","Mortality from total cardiovascular diseases","Number",88,"","","Race/Ethnicity","Hispanic","POINT (-94.79420050299967 46.35564873600049)",27,"CVD","CVD1_1","NMBR","RACE","HIS",-94.7942005029997,46.3556487360005
2018,2018,"MN","Minnesota","NVSS","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",3240,"","","Gender","Male","POINT (-94.79420050299967 46.35564873600049)",27,"DIA","DIA1_1","NMBR","GENDER","GENM",-94.7942005029997,46.3556487360005
2018,2018,"MO","Missouri","NVSS","Cardiovascular Disease","Mortality from total cardiovascular diseases","Number",9385,"","","Gender","Female","POINT (-92.56630005299968 38.635790776000476)",29,"CVD","CVD1_1","NMBR","GENDER","GENF",-92.5663000529997,38.6357907760005
2018,2018,"MO","Missouri","NVSS","Cardiovascular Disease","Mortality from coronary heart disease","Number",8150,"","","Overall","Overall","POINT (-92.56630005299968 38.635790776000476)",29,"CVD","CVD1_3","NMBR","OVERALL","OVR",-92.5663000529997,38.6357907760005
2018,2018,"MO","Missouri","NVSS","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",2644,"","","Gender","Male","POINT (-92.56630005299968 38.635790776000476)",29,"DIA","DIA1_1","NMBR","GENDER","GENM",-92.5663000529997,38.6357907760005
2018,2018,"NC","North Carolina","NVSS","Cardiovascular Disease","Mortality from diseases of the heart","Number",221,"","","Race/Ethnicity","Hispanic","POINT (-79.15925046299964 35.466220975000454)",37,"CVD","CVD1_2","NMBR","RACE","HIS",-79.1592504629996,35.4662209750005
2018,2018,"NC","North Carolina","NVSS","Cardiovascular Disease","Mortality from coronary heart disease","Number",6261,"","","Gender","Male","POINT (-79.15925046299964 35.466220975000454)",37,"CVD","CVD1_3","NMBR","GENDER","GENM",-79.1592504629996,35.4662209750005
2018,2018,"NE","Nebraska","NVSS","Cardiovascular Disease","Mortality from coronary heart disease","Number",1048,"","","Gender","Male","POINT (-99.36572062299967 41.6410409880005)",31,"CVD","CVD1_3","NMBR","GENDER","GENM",-99.3657206229997,41.6410409880005
2018,2018,"NH","New Hampshire","NVSS","Cardiovascular Disease","Mortality from diseases of the heart","Number",1550,"","","Gender","Male","POINT (-71.50036091999965 43.65595011300047)",33,"CVD","CVD1_2","NMBR","GENDER","GENM",-71.5003609199997,43.6559501130005
2018,2018,"NJ","New Jersey","NVSS","Chronic Kidney Disease","Mortality with end-stage renal disease","Number",3402,"","","Gender","Male","POINT (-74.27369128799967 40.13057004800049)",34,"CKD","CKD1_0","NMBR","GENDER","GENM",-74.2736912879997,40.1305700480005
2018,2018,"NJ","New Jersey","NVSS","Cardiovascular Disease","Mortality from cerebrovascular disease (stroke)","Number",1947,"","","Gender","Female","POINT (-74.27369128799967 40.13057004800049)",34,"CVD","CVD1_5","NMBR","GENDER","GENF",-74.2736912879997,40.1305700480005
2018,2018,"OH","Ohio","NVSS","Overarching Conditions","Premature mortality among adults aged 45-64 years","Number",9283,"","","Gender","Female","POINT (-82.40426005599966 40.06021014100048)",39,"OVC","OVC5_0","NMBR","GENDER","GENF",-82.4042600559997,40.0602101410005
2018,2018,"SD","South Dakota","NVSS","Chronic Kidney Disease","Mortality with end-stage renal disease","Number",348,"","","Gender","Female","POINT (-100.3735306369997 44.353130053000484)",46,"CKD","CKD1_0","NMBR","GENDER","GENF",-100.373530637,44.3531300530005
2018,2018,"TX","Texas","NVSS","Alcohol","Chronic liver disease mortality","Number",1670,"","","Race/Ethnicity","Hispanic","POINT (-99.42677020599967 31.827240407000488)",48,"ALC","ALC6_0","NMBR","RACE","HIS",-99.4267702059997,31.8272404070005
2018,2018,"TX","Texas","NVSS","Cardiovascular Disease","Mortality from diseases of the heart","Number",46763,"","","Overall","Overall","POINT (-99.42677020599967 31.827240407000488)",48,"CVD","CVD1_2","NMBR","OVERALL","OVR",-99.4267702059997,31.8272404070005
2018,2018,"UT","Utah","NVSS","Alcohol","Chronic liver disease mortality","Number",175,"","","Gender","Male","POINT (-111.58713063499971 39.360700171000474)",49,"ALC","ALC6_0","NMBR","GENDER","GENM",-111.587130635,39.3607001710005
2018,2018,"UT","Utah","NVSS","Cardiovascular Disease","Mortality from total cardiovascular diseases","Number",2464,"","","Gender","Female","POINT (-111.58713063499971 39.360700171000474)",49,"CVD","CVD1_1","NMBR","GENDER","GENF",-111.587130635,39.3607001710005
2018,2018,"VT","Vermont","NVSS","Alcohol","Chronic liver disease mortality","Number",39,"","","Gender","Male","POINT (-72.51764079099962 43.62538123900049)",50,"ALC","ALC6_0","NMBR","GENDER","GENM",-72.5176407909996,43.6253812390005
2018,2018,"WV","West Virginia","NVSS","Cardiovascular Disease","Mortality from coronary heart disease","Number",3288,"","","Overall","Overall","POINT (-80.71264013499967 38.66551020200046)",54,"CVD","CVD1_3","NMBR","OVERALL","OVR",-80.7126401349997,38.6655102020005
2018,2018,"WY","Wyoming","NVSS","Alcohol","Chronic liver disease mortality","Number",47,"","","Gender","Female","POINT (-108.10983035299967 43.23554134300048)",56,"ALC","ALC6_0","NMBR","GENDER","GENF",-108.109830353,43.2355413430005
2018,2018,"AR","Arkansas","NVSS","Cardiovascular Disease","Mortality from cerebrovascular disease (stroke)","Number",1269,"","","Race/Ethnicity","White, non-Hispanic","POINT (-92.27449074299966 34.74865012400045)",5,"CVD","CVD1_5","NMBR","RACE","WHT",-92.2744907429997,34.7486501240004
2018,2018,"AZ","Arizona","NVSS","Cardiovascular Disease","Mortality from cerebrovascular disease (stroke)","Number",2836,"","","Overall","Overall","POINT (-111.76381127699972 34.865970280000454)",4,"CVD","CVD1_5","NMBR","OVERALL","OVR",-111.763811277,34.8659702800005
2019,2019,"CA","California","NVSS","Alcohol","Chronic liver disease mortality","Number",3565,"","","Gender","Male","POINT (-120.99999953799971 37.63864012300047)",6,"ALC","ALC6_0","NMBR","GENDER","GENM",-120.999999538,37.6386401230005
2018,2018,"CO","Colorado","NVSS","Cardiovascular Disease","Mortality from total cardiovascular diseases","Number",1031,"","","Race/Ethnicity","Hispanic","POINT (-106.13361092099967 38.843840757000464)",8,"CVD","CVD1_1","NMBR","RACE","HIS",-106.133610921,38.8438407570005
2019,2019,"CT","Connecticut","NVSS","Alcohol","Chronic liver disease mortality","Number",272,"","","Gender","Male","POINT (-72.64984095199964 41.56266102000046)",9,"ALC","ALC6_0","NMBR","GENDER","GENM",-72.6498409519996,41.5626610200005
2019,2019,"CT","Connecticut","NVSS","Asthma","Asthma mortality rate","Number",20,"","","Gender","Female","POINT (-72.64984095199964 41.56266102000046)",9,"AST","AST4_1","NMBR","GENDER","GENF",-72.6498409519996,41.5626610200005
2018,2018,"CT","Connecticut","NVSS","Cardiovascular Disease","Mortality from coronary heart disease","Number",295,"","","Race/Ethnicity","Black, non-Hispanic","POINT (-72.64984095199964 41.56266102000046)",9,"CVD","CVD1_3","NMBR","RACE","BLK",-72.6498409519996,41.5626610200005
2019,2019,"DC","District of Columbia","NVSS","Cardiovascular Disease","Mortality from diseases of the heart","Number",615,"","","Gender","Male","POINT (-77.036871 38.907192)",11,"CVD","CVD1_2","NMBR","GENDER","GENM",-77.036871,38.907192
2019,2019,"GA","Georgia","NVSS","Alcohol","Chronic liver disease mortality","Number",475,"","","Gender","Female","POINT (-83.62758034599966 32.83968109300048)",13,"ALC","ALC6_0","NMBR","GENDER","GENF",-83.6275803459997,32.8396810930005
2018,2018,"FL","Florida","NVSS","Cardiovascular Disease","Mortality from diseases of the heart","Number",6141,"","","Race/Ethnicity","Hispanic","POINT (-81.92896053899966 28.932040377000476)",12,"CVD","CVD1_2","NMBR","RACE","HIS",-81.9289605389997,28.9320403770005
2019,2019,"HI","Hawaii","NVSS","Asthma","Asthma mortality rate","Number",0,"~","Data not shown because of too few respondents or cases","Gender","Male","POINT (-157.85774940299973 21.304850435000446)",15,"AST","AST4_1","NMBR","GENDER","GENM",-157.857749403,21.3048504350004
2018,2018,"FL","Florida","NVSS","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",6974,"","","Gender","Female","POINT (-81.92896053899966 28.932040377000476)",12,"DIA","DIA1_1","NMBR","GENDER","GENF",-81.9289605389997,28.9320403770005
2018,2018,"FL","Florida","NVSS","Cardiovascular Disease","Mortality from cerebrovascular disease (stroke)","Number",5588,"","","Gender","Male","POINT (-81.92896053899966 28.932040377000476)",12,"CVD","CVD1_5","NMBR","GENDER","GENM",-81.9289605389997,28.9320403770005
2019,2019,"HI","Hawaii","NVSS","Cardiovascular Disease","Mortality from cerebrovascular disease (stroke)","Number",350,"","","Gender","Male","POINT (-157.85774940299973 21.304850435000446)",15,"CVD","CVD1_5","NMBR","GENDER","GENM",-157.857749403,21.3048504350004
2019,2019,"IA","Iowa","NVSS","Cardiovascular Disease","Mortality from total cardiovascular diseases","Number",4754,"","","Gender","Female","POINT (-93.81649055599968 42.46940091300047)",19,"CVD","CVD1_1","NMBR","GENDER","GENF",-93.8164905559997,42.4694009130005
2019,2019,"ID","Idaho","NVSS","Cardiovascular Disease","Mortality from coronary heart disease","Number",1008,"","","Gender","Male","POINT (-114.3637300419997 43.682630005000476)",16,"CVD","CVD1_3","NMBR","GENDER","GENM",-114.363730042,43.6826300050005
2018,2018,"FL","Florida","NVSS","Cardiovascular Disease","Mortality from coronary heart disease","Number",327,"","","Race/Ethnicity","Asian or Pacific Islander","POINT (-81.92896053899966 28.932040377000476)",12,"CVD","CVD1_3","NMBR","RACE","API",-81.9289605389997,28.9320403770005
2019,2019,"IN","Indiana","NVSS","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",3626,"","","Gender","Male","POINT (-86.14996019399968 39.766910452000445)",18,"DIA","DIA1_1","NMBR","GENDER","GENM",-86.1499601939997,39.7669104520004
2019,2019,"KS","Kansas","NVSS","Cardiovascular Disease","Mortality from cerebrovascular disease (stroke)","Number",573,"","","Gender","Male","POINT (-98.20078122699965 38.34774030000045)",20,"CVD","CVD1_5","NMBR","GENDER","GENM",-98.2007812269996,38.3477403000005
2018,2018,"AR","Arkansas","NVSS","Cardiovascular Disease","Mortality from total cardiovascular diseases","Number",79,"","","Race/Ethnicity","Hispanic","POINT (-92.27449074299966 34.74865012400045)",5,"CVD","CVD1_1","NMBR","RACE","HIS",-92.2744907429997,34.7486501240004
2018,2018,"AL","Alabama","NVSS","Overarching Conditions","Premature mortality among adults aged 45-64 years","Number",11692,"","","Overall","Overall","POINT (-86.63186076199969 32.84057112200048)",1,"OVC","OVC5_0","NMBR","OVERALL","OVR",-86.6318607619997,32.8405711220005
2019,2019,"LA","Louisiana","NVSS","Cardiovascular Disease","Mortality from coronary heart disease","Number",2067,"","","Gender","Female","POINT (-92.44568007099969 31.31266064400046)",22,"CVD","CVD1_3","NMBR","GENDER","GENF",-92.4456800709997,31.3126606440005
2019,2019,"MD","Maryland","NVSS","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",3044,"","","Gender","Male","POINT (-76.60926011099963 39.29058096400047)",24,"DIA","DIA1_1","NMBR","GENDER","GENM",-76.6092601109996,39.2905809640005
2019,2019,"MO","Missouri","NVSS","Cardiovascular Disease","Mortality from cerebrovascular disease (stroke)","Number",31,"","","Race/Ethnicity","Hispanic","POINT (-92.56630005299968 38.635790776000476)",29,"CVD","CVD1_5","NMBR","RACE","HIS",-92.5663000529997,38.6357907760005
2019,2019,"MO","Missouri","NVSS","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",2693,"","","Gender","Male","POINT (-92.56630005299968 38.635790776000476)",29,"DIA","DIA1_1","NMBR","GENDER","GENM",-92.5663000529997,38.6357907760005
2018,2018,"AZ","Arizona","NVSS","Chronic Kidney Disease","Mortality with end-stage renal disease","Number",3442,"","","Overall","Overall","POINT (-111.76381127699972 34.865970280000454)",4,"CKD","CKD1_0","NMBR","OVERALL","OVR",-111.763811277,34.8659702800005
2019,2019,"NC","North Carolina","NVSS","Cardiovascular Disease","Mortality from cerebrovascular disease (stroke)","Number",2259,"","","Gender","Male","POINT (-79.15925046299964 35.466220975000454)",37,"CVD","CVD1_5","NMBR","GENDER","GENM",-79.1592504629996,35.4662209750005
2019,2019,"NE","Nebraska","NVSS","Alcohol","Chronic liver disease mortality","Number",150,"","","Gender","Male","POINT (-99.36572062299967 41.6410409880005)",31,"ALC","ALC6_0","NMBR","GENDER","GENM",-99.3657206229997,41.6410409880005
2018,2018,"KY","Kentucky","NVSS","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",6612,"","","Overall","Overall","POINT (-84.77497104799966 37.645970271000465)",21,"DIA","DIA1_1","NMBR","OVERALL","OVR",-84.7749710479997,37.6459702710005
