"LocationDesc","Topic","Stratification1","DataValue"
"Alabama","Alcohol","American Indian or Alaska Native",0
"Alabama","Alcohol","Asian or Pacific Islander",0
"Alabama","Alcohol","Black, non-Hispanic",195
"Alabama","Alcohol","Female",617
"Alabama","Alcohol","Hispanic",0
"Alabama","Alcohol","Male",976
"Alabama","Alcohol","Overall",1593
"Alabama","Alcohol","White, non-Hispanic",1370
"Alabama","Asthma","American Indian or Alaska Native",0
"Alabama","Asthma","Asian or Pacific Islander",0
"Alabama","Asthma","Black, non-Hispanic",58
"Alabama","Asthma","Female",67
"Alabama","Asthma","Hispanic",0
"Alabama","Asthma","Male",52
"Alabama","Asthma","Overall",119
"Alabama","Asthma","White, non-Hispanic",57
"Alabama","Cardiovascular Disease","American Indian or Alaska Native",99
"Alabama","Cardiovascular Disease","Asian or Pacific Islander",278
"Alabama","Cardiovascular Disease","Black, non-Hispanic",21411
"Alabama","Cardiovascular Disease","Female",43252
"Alabama","Cardiovascular Disease","Hispanic",312
"Alabama","Cardiovascular Disease","Male",47831
"Alabama","Cardiovascular Disease","Overall",91083
"Alabama","Cardiovascular Disease","White, non-Hispanic",68697
"Alabama","Chronic Kidney Disease","American Indian or Alaska Native",0
"Alabama","Chronic Kidney Disease","Asian or Pacific Islander",23
"Alabama","Chronic Kidney Disease","Black, non-Hispanic",2246
"Alabama","Chronic Kidney Disease","Female",3391
"Alabama","Chronic Kidney Disease","Hispanic",25
"Alabama","Chronic Kidney Disease","Male",3824
"Alabama","Chronic Kidney Disease","Overall",7215
"Alabama","Chronic Kidney Disease","White, non-Hispanic",4862
"Alabama","Chronic Obstructive Pulmonary Disease","American Indian or Alaska Native",0
"Alabama","Chronic Obstructive Pulmonary Disease","Asian or Pacific Islander",0
"Alabama","Chronic Obstructive Pulmonary Disease","Black, non-Hispanic",2066
"Alabama","Chronic Obstructive Pulmonary Disease","Female",8798
"Alabama","Chronic Obstructive Pulmonary Disease","Hispanic",0
"Alabama","Chronic Obstructive Pulmonary Disease","Male",9038
"Alabama","Chronic Obstructive Pulmonary Disease","Overall",17836
"Alabama","Chronic Obstructive Pulmonary Disease","White, non-Hispanic",15655
"Alabama","Diabetes","American Indian or Alaska Native",0
"Alabama","Diabetes","Asian or Pacific Islander",0
"Alabama","Diabetes","Black, non-Hispanic",3254
"Alabama","Diabetes","Female",4376
"Alabama","Diabetes","Hispanic",48
"Alabama","Diabetes","Male",5591
"Alabama","Diabetes","Overall",6786
"Alabama","Diabetes","White, non-Hispanic",6572
"Alabama","Overarching Conditions","American Indian or Alaska Native",63
"Alabama","Overarching Conditions","Asian or Pacific Islander",113
"Alabama","Overarching Conditions","Black, non-Hispanic",6922
"Alabama","Overarching Conditions","Female",9214
"Alabama","Overarching Conditions","Hispanic",172
"Alabama","Overarching Conditions","Male",13868
"Alabama","Overarching Conditions","Overall",23082
"Alabama","Overarching Conditions","White, non-Hispanic",15775
"Alaska","Alcohol","American Indian or Alaska Native",85
"Alaska","Alcohol","Asian or Pacific Islander",0
"Alaska","Alcohol","Black, non-Hispanic",0
"Alaska","Alcohol","Female",117
"Alaska","Alcohol","Hispanic",0
"Alaska","Alcohol","Male",114
"Alaska","Alcohol","Overall",231
"Alaska","Alcohol","White, non-Hispanic",128
"Alaska","Asthma","American Indian or Alaska Native",0
"Alaska","Asthma","Asian or Pacific Islander",0
"Alaska","Asthma","Black, non-Hispanic",0
"Alaska","Asthma","Female",0
"Alaska","Asthma","Hispanic",0
"Alaska","Asthma","Male",0
"Alaska","Asthma","Overall",0
"Alaska","Asthma","White, non-Hispanic",0
"Alaska","Cardiovascular Disease","American Indian or Alaska Native",1249
"Alaska","Cardiovascular Disease","Asian or Pacific Islander",264
"Alaska","Cardiovascular Disease","Black, non-Hispanic",177
"Alaska","Cardiovascular Disease","Female",2454
"Alaska","Cardiovascular Disease","Hispanic",72
"Alaska","Cardiovascular Disease","Male",3636
"Alaska","Cardiovascular Disease","Overall",6090
"Alaska","Cardiovascular Disease","White, non-Hispanic",4124
"Alaska","Chronic Kidney Disease","American Indian or Alaska Native",136
"Alaska","Chronic Kidney Disease","Asian or Pacific Islander",47
"Alaska","Chronic Kidney Disease","Black, non-Hispanic",0
"Alaska","Chronic Kidney Disease","Female",257
